 ;2008;2009;2010;2011;2012;2013
Povpreèna kolièina padavin - LETNA;1606;1554;1787;1088;1396;1595
Januar;81;122;95;45;29;109
Februar;43;98;132;28;36;161
Marec;149;165;54;96;10;201
April;142;111;72;48;136;80
Maj;102;72;161;106;135;203
Junij;166;180;128;163;118;76
Julij;198;134;116;152;112;47
Avgust;144;108;167;52;58;102
September;59;105;326;87;212;181
Oktober;127;93;106;184;229;87
November;140;123;235;10;219;262
December;256;243;195;116;103;86
