"PID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","NL_NAME_2","VARNAME_2","TYPE_2","ENGTYPE_2"
32574,206,"SVN","Slovenia",9,"Pomurska",131,"Cankova","","","Opcine","Commune|Municipality"
32575,206,"SVN","Slovenia",9,"Pomurska",132,"Dobrovnik","","Dobronak","Opcine","Commune|Municipality"
32576,206,"SVN","Slovenia",9,"Pomurska",133,"Gornja Radgona","","","Opcine","Commune|Municipality"
32577,206,"SVN","Slovenia",9,"Pomurska",134,"Gornji Petrovci","","","Opcine","Commune|Municipality"
32578,206,"SVN","Slovenia",9,"Pomurska",135,"Grad","","","Opcine","Commune|Municipality"
32579,206,"SVN","Slovenia",9,"Pomurska",136,"Hodoš","","","Opcine","Commune|Municipality"
32580,206,"SVN","Slovenia",9,"Pomurska",137,"Kobilje","","","Opcine","Commune|Municipality"
32581,206,"SVN","Slovenia",9,"Pomurska",138,"Križevci","","","Opcine","Commune|Municipality"
32582,206,"SVN","Slovenia",9,"Pomurska",139,"Kuzma","","","Opcine","Commune|Municipality"
32583,206,"SVN","Slovenia",9,"Pomurska",140,"Lendava","","Lendva","Opcine","Commune|Municipality"
32584,206,"SVN","Slovenia",9,"Pomurska",141,"Ljutomer","","","Opcine","Commune|Municipality"
32585,206,"SVN","Slovenia",9,"Pomurska",142,"Moravske Toplice","","","Opcine","Commune|Municipality"
32586,206,"SVN","Slovenia",9,"Pomurska",143,"Murska Sobota","","","Opcine","Commune|Municipality"
32587,206,"SVN","Slovenia",9,"Pomurska",144,"Odranci","","","Opcine","Commune|Municipality"
32588,206,"SVN","Slovenia",9,"Pomurska",145,"Puconci","","","Opcine","Commune|Municipality"
32589,206,"SVN","Slovenia",9,"Pomurska",146,"Radenci","","","Opcine","Commune|Municipality"
32590,206,"SVN","Slovenia",9,"Pomurska",147,"Razkrižje","","","Opcine","Commune|Municipality"
32591,206,"SVN","Slovenia",9,"Pomurska",148,"Rogašovci","","","Opcine","Commune|Municipality"
32592,206,"SVN","Slovenia",9,"Pomurska",149,"Šalovci","","","Opcine","Commune|Municipality"
32593,206,"SVN","Slovenia",9,"Pomurska",150,"Sveti Jurij","","","Opcine","Commune|Municipality"
32594,206,"SVN","Slovenia",9,"Pomurska",151,"Tišina","","","Opcine","Commune|Municipality"
32595,206,"SVN","Slovenia",9,"Pomurska",152,"Turnišce","","","Opcine","Commune|Municipality"
32596,206,"SVN","Slovenia",9,"Pomurska",153,"Velika Polana","","","Opcine","Commune|Municipality"
32597,206,"SVN","Slovenia",9,"Pomurska",154,"Veržej","","","Opcine","Commune|Municipality"
32598,206,"SVN","Slovenia",10,"Savinjska",155,"Bistrica ob Sotli","","","Opcine","Commune|Municipality"
32599,206,"SVN","Slovenia",10,"Savinjska",156,"Braslovce","","","Opcine","Commune|Municipality"
32600,206,"SVN","Slovenia",10,"Savinjska",157,"Celje","","","Opcine","Commune|Municipality"
32601,206,"SVN","Slovenia",10,"Savinjska",158,"Dobje","","","Opcine","Commune|Municipality"
32602,206,"SVN","Slovenia",10,"Savinjska",159,"Dobrna","","","Opcine","Commune|Municipality"
32603,206,"SVN","Slovenia",10,"Savinjska",160,"Gornji Grad","","","Opcine","Commune|Municipality"
32604,206,"SVN","Slovenia",10,"Savinjska",161,"Kozje","","","Opcine","Commune|Municipality"
32605,206,"SVN","Slovenia",10,"Savinjska",162,"Laško","","","Opcine","Commune|Municipality"
32606,206,"SVN","Slovenia",10,"Savinjska",163,"Ljubno","","","Opcine","Commune|Municipality"
32607,206,"SVN","Slovenia",10,"Savinjska",164,"Luce","","","Opcine","Commune|Municipality"
32608,206,"SVN","Slovenia",10,"Savinjska",165,"Mozirje","","","Opcine","Commune|Municipality"
32609,206,"SVN","Slovenia",10,"Savinjska",166,"Nazarje","","","Opcine","Commune|Municipality"
32610,206,"SVN","Slovenia",10,"Savinjska",167,"Podcetrtek","","","Opcine","Commune|Municipality"
32611,206,"SVN","Slovenia",10,"Savinjska",168,"Polzela","","","Opcine","Commune|Municipality"
32612,206,"SVN","Slovenia",10,"Savinjska",169,"Prebold","","","Opcine","Commune|Municipality"
32613,206,"SVN","Slovenia",10,"Savinjska",170,"Radece","","","Opcine","Commune|Municipality"
32614,206,"SVN","Slovenia",10,"Savinjska",171,"Rogaška Slatina","","","Opcine","Commune|Municipality"
32615,206,"SVN","Slovenia",10,"Savinjska",172,"Rogatec","","","Opcine","Commune|Municipality"
32616,206,"SVN","Slovenia",10,"Savinjska",173,"Šentjur pri Celju","","","Opcine","Commune|Municipality"
32617,206,"SVN","Slovenia",10,"Savinjska",174,"Slovenske Konjice","","","Opcine","Commune|Municipality"
32618,206,"SVN","Slovenia",10,"Savinjska",175,"Šmarje pri Jelšah","","","Opcine","Commune|Municipality"
32619,206,"SVN","Slovenia",10,"Savinjska",176,"Šmartno ob Paki","","","Opcine","Commune|Municipality"
32620,206,"SVN","Slovenia",10,"Savinjska",177,"Solcava","","","Opcine","Commune|Municipality"
32621,206,"SVN","Slovenia",10,"Savinjska",178,"Šoštanj","","","Opcine","Commune|Municipality"
32622,206,"SVN","Slovenia",10,"Savinjska",179,"Štore","","","Opcine","Commune|Municipality"
32623,206,"SVN","Slovenia",10,"Savinjska",180,"Tabor","","","Opcine","Commune|Municipality"
32624,206,"SVN","Slovenia",10,"Savinjska",181,"Velenje","","","Opcine","Commune|Municipality"
32625,206,"SVN","Slovenia",10,"Savinjska",182,"Vitanje","","","Opcine","Commune|Municipality"
32626,206,"SVN","Slovenia",10,"Savinjska",183,"Vojnik","","","Opcine","Commune|Municipality"
32627,206,"SVN","Slovenia",10,"Savinjska",184,"Vransko","","","Opcine","Commune|Municipality"
32628,206,"SVN","Slovenia",10,"Savinjska",185,"Žalec","","","Opcine","Commune|Municipality"
32629,206,"SVN","Slovenia",10,"Savinjska",186,"Zrece","","","Opcine","Commune|Municipality"
32630,206,"SVN","Slovenia",11,"Spodnjeposavska",187,"Brežice","","","Opcine","Commune|Municipality"
32631,206,"SVN","Slovenia",11,"Spodnjeposavska",188,"Krško","","","Opcine","Commune|Municipality"
32632,206,"SVN","Slovenia",11,"Spodnjeposavska",189,"Sevnica","","","Opcine","Commune|Municipality"
32633,206,"SVN","Slovenia",12,"Zasavska",190,"Hrastnik","","","Opcine","Commune|Municipality"
32634,206,"SVN","Slovenia",12,"Zasavska",191,"Trbovlje","","","Opcine","Commune|Municipality"
